order_id,order_date,sku_id,product_name,final_ak_price,units_sold,quantity,customer_id,placed_gmv
136075,2022-05-19 23:02:02,60feae9632,Patanjali Saundarya Face Wash 100g,72.9,18,1,97064,1312.2
136075,2022-05-19 23:02:02,616becb71f,Himalaya Herbals Complete Care Toothpaste 150g,64.6,6,1,97064,387.6
136075,2022-05-19 23:02:02,6163e1f4fe,Quaker Oats 400g,64.26,24,1,97064,1542.24
148314,2022-06-03 09:01:05,61fbf021b7,Closeup Deep Action Red Hot Gel Toothpaste 80g,47.9,6,12,73284,3448.8
148314,2022-06-03 09:01:05,61a5f50ab9,Dabur Red Paste 12U X 42g,17.5,48,6,73284,5040
148314,2022-06-03 09:01:05,6098c055c7,Dabur Red Paste 200g,93.1,24,3,73284,6703.2
148314,2022-06-03 09:01:05,6030d6ea89,Dabur Red Toothpaste 100g,52.4,36,4,73284,7545.6
131228,2022-05-13 17:25:48,61cab911fe,Surf Excel Easy Wash Detergent Powder 1kg,118.55,15,1,82735,1778.25
131228,2022-05-13 17:25:48,618e0f8cbd,Surf Excel Easy Wash Detergent Powder 500g,59.95,20,1,82735,1199
120438,2022-05-06 15:51:53,6163e28efa,Saffola Oats 1kg + Free Saffola Oats 400g,170.24,3,1,28346,510.72
120438,2022-05-06 15:51:53,61a0dbe1ec,Saffola Masala Oats Classic Masala 38g,11.93,17,1,28346,202.81
120438,2022-05-06 15:51:53,624d8a2116,Saffola Masala Oats Veggie Twist 38g,11.93,22,1,28346,262.46
120438,2022-05-06 15:51:53,615ec410af,"Saffola Masala Oats, Classic Masala 500 g",150.08,2,1,28346,300.16
141794,2022-05-26 16:17:25,626cf940d1,Fogg Real Man Thrill Deodrant 200ml,164.45,8,1,44978,1315.6
141794,2022-05-26 16:17:25,65c8655b91,Bambino Roasted Dalia 500g,36,10,2,44978,720
141794,2022-05-26 16:17:25,625a584f48,Glucon-D Instant Energy Health Drink Regular Refill 75g Free 50g,23.15,12,1,44978,277.8
141794,2022-05-26 16:17:25,626b733fb5,Navratna Cool Talc Mint Fresh PowderJar 24U X 18g,9,48,1,44978,432
141794,2022-05-26 16:17:25,5fad9e2e58,Dettol Original Bathing Soap 40g,9.06,150,1,44978,1359
141794,2022-05-26 16:17:25,607d7cc186,Pond's Pure Detox Anti-Pollution Purity Facewash 100g,167,4,1,44978,668
141794,2022-05-26 16:17:25,6177890d90,Surf Excel Easy Wash Detergent Powder 80g,8.59,120,1,44978,1030.8
141794,2022-05-26 16:17:25,61fbef02b7,Glow & Lovely Facewash 12U + 1U Free x 20g,19.61,24,1,44978,470.64
141794,2022-05-26 16:17:25,6047142963,Glow & Lovely Instant Glow With Brightening Multivitamin Facewash 100g,105.83,8,1,44978,846.64
141794,2022-05-26 16:17:25,61b3476d0e,Colgate Super Flexi Charcoal Toothbrush 10U + 2U Free,14.54,60,1,44978,872.4
141794,2022-05-26 16:17:25,60c6f153a6,Clinic Plus Strong & Long Health Shampoo 80ml,45.23,14,1,44978,633.22
141794,2022-05-26 16:17:25,6277db4955,Clinic Plus Strong With Egg Protein 80ml,45.24,6,1,44978,271.44
141794,2022-05-26 16:17:25,619cea910e,Himalaya Sparkling White Toothpaste 150g,72.69,12,1,44978,872.28
141794,2022-05-26 16:17:25,622497ab6c,"Whisper Choice Ultra Sanitary Pads - With Disposal Bags , XL, 6 Pads",37.08,6,1,44978,222.48
141794,2022-05-26 16:17:25,625bf78948,Pears Pure & Gentle Facewash 150g,198.36,6,1,44978,1190.16
141794,2022-05-26 16:17:25,5f81c9fb89,Head & Shoulders Anti Dandruff Shampoo Smooth & Silky 180ml,132.6,6,1,44978,795.6
141794,2022-05-26 16:17:25,6173ce3b30,Head & Shoulders Anti Dandruff Hairfall Shampoo 72ml,57,12,1,44978,684
141794,2022-05-26 16:17:25,60f28b7734,Dove Intense Repair Shampoo 80ml,59.16,12,1,44978,709.92
141794,2022-05-26 16:17:25,60d96b3216,Dove Hair Fall Rescue Shampoo 80ml,59.16,12,1,44978,709.92
141794,2022-05-26 16:17:25,61778a8290,Nivea Men Deodorant Fresh Ocean 150ml,117,6,1,44978,702
141794,2022-05-26 16:17:25,60ee9b609b,Nivea Men Fresh Active Deodorant 150ml,114,6,1,44978,684
141794,2022-05-26 16:17:25,6171a5c24a,Nivea Pearl & Beauty Deodorant for Unisex 150ml,114,6,1,44978,684
141794,2022-05-26 16:17:25,5fbe66036f,Sensodyne Sensitive Toothbrush 1U,37.8,48,1,44978,1814.4
141794,2022-05-26 16:17:25,617022d24a,Ayur Herbal Cold Cream with Aloe Vera 25ml,17.89,8,1,44978,143.12
141794,2022-05-26 16:17:25,618ceb140e,Kesh King Ayurvedic Medicinal Oil 300ml,285.02,12,1,44978,3420.24
141794,2022-05-26 16:17:25,60e7f9b80a,Clean & Clear Morning Energy Berry Face Wash 50ml,63.52,12,1,44978,762.24
141794,2022-05-26 16:17:25,6221a9ab36,Tops Gold Mixed Pickle Jar 900g,122.1,6,1,44978,732.6
141794,2022-05-26 16:17:25,6221ab0736,Tops Gold Mango Pickle Jar 950g,122.1,6,1,44978,732.6
146489,2022-05-31 18:11:45,5f89a30c3a,"Garnier Color Naturals Crème hair color, Shade 1 Natural Black 20ml+20ml",33.15,16,1,5638,530.4
146489,2022-05-31 18:11:45,60dec7af3e,Gillette Guard Shaving Razor 10g,15.81,12,1,5638,189.72
146489,2022-05-31 18:11:45,626d01b3d1,Axe Signature Gold Temptation Ticket Body Deodorant 17ml,50.73,6,1,5638,304.38
146489,2022-05-31 18:11:45,60e7f9b80a,Clean & Clear Morning Energy Berry Face Wash 50ml,64.68,6,1,5638,388.08
162722,2022-06-21 17:04:11,6137c39243,Garnier Black Naturals Shade 3.16 Burgundy 20ml+20g,33.6,16,1,112829,537.6
162722,2022-06-21 17:04:11,5f89a30c3a,"Garnier Color Naturals Crème hair color, Shade 1 Natural Black 20ml+20ml",32,40,1,112829,1280
137082,2022-05-21 00:43:23,61d43fb6d9,Parachute Advansed Jasmine Coconut Hair Oil 400ml + Free Hair Oil 90 ml,158.05,18,1,64307,2844.9
137082,2022-05-21 00:43:23,6089807319,Patanjali Saundarya Face Wash 60g,48.6,18,1,64307,874.8
